measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Mississippi,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,34.965830515427214,38.07511386843739,31.18647365810971
Deaths,South Carolina,Both,All Ages,Chronic respiratory diseases,Rate,2000,58.313506429150394,62.2116045286651,51.91201953816991
Deaths,Michigan,Both,All Ages,Chronic respiratory diseases,Rate,2001,54.117118687675294,58.05467638363901,47.4611926163615
Deaths,South Carolina,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,26.65029146178845,28.97443123115974,24.106213597624567
Deaths,Pennsylvania,Both,All Ages,Chronic respiratory diseases,Rate,2001,66.74676329134331,71.64390856381608,59.271082507679495
Deaths,Missouri,Both,All Ages,Chronic respiratory diseases,Rate,2000,63.56089450249384,68.0602615743138,55.28719558511041
Deaths,South Dakota,Both,All Ages,Chronic respiratory diseases,Rate,2000,59.38918857794765,64.33098567919947,53.633601742306084
Deaths,District of Columbia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,32.05750407191931,35.57504405658564,27.475564969351833
Deaths,Florida,Both,All Ages,Chronic respiratory diseases,Rate,2000,67.4157561225527,72.22662414448249,58.00053075555627
Deaths,Missouri,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,34.686803190508826,38.03021241524451,30.35690857060864
Deaths,Connecticut,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,30.36462147882119,33.74751507420478,25.733737294420948
Deaths,Florida,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,24.597653262442734,26.664664537392643,21.786380871437448
Deaths,Montana,Both,All Ages,Chronic respiratory diseases,Rate,2000,76.92892053409875,83.82897915532503,62.40172993676318
Deaths,Connecticut,Both,All Ages,Chronic respiratory diseases,Rate,2001,55.06849384349371,60.02035547053103,46.554197601021286
Deaths,Tennessee,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,34.917117622211,37.75550243981096,31.59378393334592
Deaths,Minnesota,Both,All Ages,Chronic respiratory diseases,Rate,2001,51.220493521719256,55.47701320207562,44.29585443214881
Deaths,Montana,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,30.352928163690816,33.24223580014597,26.334583330254404
Deaths,Delaware,Both,All Ages,Chronic respiratory diseases,Rate,2001,53.72154158394809,58.450581442390735,46.33635817225034
Deaths,South Dakota,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,33.40622558155356,36.6905999462031,28.828959918830282
Deaths,District of Columbia,Both,All Ages,Chronic respiratory diseases,Rate,2001,41.73401886724912,51.729566988583,36.35241765763643
Deaths,Tennessee,Both,All Ages,Chronic respiratory diseases,Rate,2000,60.70647724037003,64.4048837591546,54.73055725511454
Deaths,Michigan,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,24.98026643871554,27.145292960365303,22.10322655333202
Deaths,Minnesota,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,23.236217655345133,25.462368189395807,19.987362296186696
Deaths,Utah,Both,All Ages,Chronic respiratory diseases,Rate,2000,36.10137291330661,39.02960047749743,32.73493964613816
Deaths,Pennsylvania,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,31.656564960763433,34.660138676649325,27.70319263837436
Deaths,Georgia,Both,All Ages,Chronic respiratory diseases,Rate,2000,50.76127973685737,54.18208798376133,43.8165908263872
Deaths,Texas,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,21.49761809611366,23.45638001324807,19.08338594117068
Deaths,Georgia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,27.435987902616,29.451563637102492,24.80436968315987
Deaths,Rhode Island,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,30.10874886148643,33.40320679570558,25.925371854676012
Deaths,Delaware,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,25.04132576330811,27.41712059346901,22.37543827319991
Deaths,Texas,Both,All Ages,Chronic respiratory diseases,Rate,2000,44.75043139690523,47.648908511526834,39.5545900826218
Deaths,Rhode Island,Both,All Ages,Chronic respiratory diseases,Rate,2001,56.87756368581787,61.91375088193976,49.815974418662776
Deaths,Hawaii,Both,All Ages,Chronic respiratory diseases,Rate,2000,34.22093598065181,41.002311206835095,30.18403680163265
Deaths,Nebraska,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,29.825584980251712,32.6819770912933,25.945364304013978
Deaths,Nebraska,Both,All Ages,Chronic respiratory diseases,Rate,2000,65.59401420879881,71.12863772673916,56.1514496882885
Deaths,Mississippi,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,33.51980074368919,36.527878432174134,30.143892565810845
Deaths,Nevada,Both,All Ages,Chronic respiratory diseases,Rate,2000,61.06962313677199,65.70542426297843,49.22138373106748
Deaths,District of Columbia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,30.13198327588811,33.563346361943275,25.891834312162114
Deaths,Vermont,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,24.52592814797469,27.020085918369375,21.409731249293475
Deaths,Missouri,Both,All Ages,Chronic respiratory diseases,Rate,2001,64.45436516583581,69.20785805635083,55.53594972432436
Deaths,Alabama,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,35.26984756616919,38.22467027919895,31.242666126312123
Deaths,Alabama,Both,All Ages,Chronic respiratory diseases,Rate,2000,69.49820097937516,74.3527427746621,60.57341207002906
Deaths,Florida,Both,All Ages,Chronic respiratory diseases,Rate,2001,67.98584726188089,72.99806703555477,57.833267928448834
Deaths,New Hampshire,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,21.0666941412093,23.38344226714363,18.23474601530323
Deaths,New Hampshire,Both,All Ages,Chronic respiratory diseases,Rate,2000,57.344957645076455,62.73681280385186,47.8118798542475
Deaths,South Carolina,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,26.358781064735513,28.680251185301582,23.816347739679564
Deaths,Mississippi,Both,All Ages,Chronic respiratory diseases,Rate,2001,62.13140032707671,66.40086684294597,54.8261836651356
Deaths,Alaska,Both,All Ages,Chronic respiratory diseases,Rate,2001,28.66324435077444,31.296469369221715,23.859149782345796
Deaths,South Dakota,Both,All Ages,Chronic respiratory diseases,Rate,2001,60.804022525303715,65.66090803124526,54.445932214630794
Deaths,Vermont,Both,All Ages,Chronic respiratory diseases,Rate,2000,60.554338451404305,65.88855200592538,50.81273033625452
Deaths,Hawaii,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,25.145422002510028,27.98076987174748,21.618532192057145
Deaths,New Jersey,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,28.129748647952244,30.667853862956225,24.836286473472445
Deaths,Florida,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,23.905347061744347,25.950736457556594,21.207407848821912
Deaths,Alaska,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,9.940240765428545,10.686733253849061,9.141794169969465
Deaths,Montana,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,29.243038014355264,32.080757775249374,25.46823551427954
Deaths,Arizona,Both,All Ages,Chronic respiratory diseases,Rate,2000,58.43909494344431,62.97057685539321,48.57635866652974
Deaths,Idaho,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,24.641466322437786,27.055866884997812,21.57374330123684
Deaths,Nevada,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,21.80830806466103,23.575145880465428,20.10866966255088
Deaths,Utah,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,22.330263892325224,24.31552248068719,19.89558115202821
Deaths,Washington,Both,All Ages,Chronic respiratory diseases,Rate,2000,53.499174404949486,57.419489972003596,44.6390715805855
Deaths,Georgia,Both,All Ages,Chronic respiratory diseases,Rate,2001,51.49242498317042,55.041568386822306,43.74090817638036
Deaths,New Mexico,Both,All Ages,Chronic respiratory diseases,Rate,2000,55.852104449073735,60.220593956657424,47.983730047745034
Deaths,Tennessee,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,34.11310116316243,36.91657584944518,30.7897848501012
Deaths,Montana,Both,All Ages,Chronic respiratory diseases,Rate,2001,78.20732795515487,85.39615530178061,62.72624793456622
Deaths,New York,Both,All Ages,Chronic respiratory diseases,Rate,2000,43.37533600569502,48.26042854586916,38.90448359159602
Deaths,Virginia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,27.237436226071978,29.429081061457065,24.211128930895732
Deaths,Arkansas,Both,All Ages,Chronic respiratory diseases,Rate,2000,68.83892012023428,73.68507383802516,60.886333105454995
Deaths,Indiana,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,27.24733711783519,29.834726466798895,24.02602273511163
Deaths,Idaho,Both,All Ages,Chronic respiratory diseases,Rate,2001,56.54871139559195,60.810484568787295,48.516989444126146
Deaths,Nevada,Both,All Ages,Chronic respiratory diseases,Rate,2001,62.1383005388534,67.01529066715591,49.178448624165455
Deaths,Indiana,Both,All Ages,Chronic respiratory diseases,Rate,2000,62.79199070618383,67.41165969815644,53.32001925231583
Deaths,Georgia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,26.255994922956816,28.275247939596856,23.682102635232006
Deaths,Nebraska,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,28.41879225342496,31.100525579666932,24.965005484738295
Deaths,Texas,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,21.072655564126023,22.991961784730222,18.669316468059723
Deaths,South Carolina,Both,All Ages,Chronic respiratory diseases,Rate,2001,59.61549736426082,63.7698624405819,51.72687798669552
