measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,South Carolina,Male,15-49 years,Chronic respiratory diseases,Rate,2000,3.681869634430718,4.2035113328955,3.160395804522217
Deaths,South Carolina,Female,15-49 years,Chronic respiratory diseases,Rate,2000,3.806765212024587,4.472935032241878,2.4916282574564828
Deaths,South Carolina,Both,15-49 years,Chronic respiratory diseases,Rate,2000,3.7447271519608822,4.15897593115706,3.0578169894344374
Deaths,South Carolina,Male,50-69 years,Chronic respiratory diseases,Rate,2000,91.92837504809235,100.49618701849029,83.49946886992696
Deaths,South Carolina,Female,50-69 years,Chronic respiratory diseases,Rate,2000,65.54931336535036,73.33346250655171,49.25244607083364
Deaths,South Carolina,Both,50-69 years,Chronic respiratory diseases,Rate,2000,78.11229469990816,84.48023941579474,69.49592062562883
Deaths,South Carolina,Male,70+ years,Chronic respiratory diseases,Rate,2000,653.7255473308439,705.0789186341124,598.1297037484904
Deaths,South Carolina,Female,70+ years,Chronic respiratory diseases,Rate,2000,391.27971780882007,440.3392842870384,307.2429027033496
Deaths,South Carolina,Both,70+ years,Chronic respiratory diseases,Rate,2000,492.33619905976536,532.1288523929192,430.43859568776014
Deaths,South Carolina,Male,0 to 14,Chronic respiratory diseases,Rate,2000,0.6612077678693244,0.863160054833549,0.5020522221610699
Deaths,South Carolina,Female,0 to 14,Chronic respiratory diseases,Rate,2000,0.4245114677612819,0.5571259310431794,0.3080799721018023
Deaths,South Carolina,Both,0 to 14,Chronic respiratory diseases,Rate,2000,0.54558305973181,0.6661229704294652,0.4394182493174174
Deaths,South Dakota,Male,15-49 years,Respiratory infections and tuberculosis,Rate,2000,2.4465628404371933,2.7939401766750094,2.101689454082743
Deaths,South Dakota,Female,15-49 years,Respiratory infections and tuberculosis,Rate,2000,1.9416832094506757,2.2444814601516683,1.6840563163942859
Deaths,South Dakota,Both,15-49 years,Respiratory infections and tuberculosis,Rate,2000,2.1990612388521926,2.4999652000278507,1.923741109204375
Deaths,South Dakota,Male,50-69 years,Respiratory infections and tuberculosis,Rate,2000,17.78854387986544,21.043389844193047,15.226578278275035
Deaths,South Dakota,Female,50-69 years,Respiratory infections and tuberculosis,Rate,2000,12.150283881463777,14.333973562995682,10.25345229254571
Deaths,South Dakota,Both,50-69 years,Respiratory infections and tuberculosis,Rate,2000,14.930849213397638,17.359985251658472,12.921110615329106
Deaths,South Dakota,Male,70+ years,Respiratory infections and tuberculosis,Rate,2000,283.74675653185346,313.87234775396837,248.34012716211947
Deaths,South Dakota,Female,70+ years,Respiratory infections and tuberculosis,Rate,2000,264.450325641832,297.2764715185151,215.61622144584555
Deaths,South Dakota,Both,70+ years,Respiratory infections and tuberculosis,Rate,2000,272.3492255042977,301.57518110685623,230.89218324081062
Deaths,South Dakota,Male,0 to 14,Respiratory infections and tuberculosis,Rate,2000,2.426877439723197,3.013876131398586,1.9545521085530184
Deaths,South Dakota,Female,0 to 14,Respiratory infections and tuberculosis,Rate,2000,2.066237066994521,2.507175552441102,1.6761312262505574
Deaths,South Dakota,Both,0 to 14,Respiratory infections and tuberculosis,Rate,2000,2.251230821255772,2.708784623549696,1.86068897452779
Deaths,Texas,Male,15-49 years,Chronic respiratory diseases,Rate,2000,2.3852652324471038,2.6484564315458194,2.137295517781326
Deaths,Texas,Female,15-49 years,Chronic respiratory diseases,Rate,2000,2.3678703371036813,2.692785075027846,2.0290760391812084
